SA2_CODE21,SA2_NAME21,STE_CODE21,SD_CODE11,SD_NAME11,SD_STATE_CODE,allocation_ratio,is_split_sa2,n_sd_overlaps
511031280,Kalgoorlie - North,5,530,South Eastern,5,1.0,False,1
511031281,Kalgoorlie Airport,5,530,South Eastern,5,1.0,False,1
511031282,Kambalda - Coolgardie - Norseman,5,430,Eyre,4,4.657110390825903e-06,True,4
511031282,Kambalda - Coolgardie - Norseman,5,435,Northern,4,2.7853925037556664e-05,True,4
511031282,Kambalda - Coolgardie - Norseman,5,525,Midlands,5,2.9407802150295337e-06,True,4
511031282,Kambalda - Coolgardie - Norseman,5,530,South Eastern,5,0.9999645481843566,True,4
511031283,Leinster - Leonora,5,435,Northern,4,2.9114938747130814e-05,True,4
511031283,Leinster - Leonora,5,525,Midlands,5,9.714642909471175e-08,True,4
511031283,Leinster - Leonora,5,530,South Eastern,5,0.9998474665678619,True,4
511031283,Leinster - Leonora,5,535,Central,5,0.00012332134696179853,True,4
511031284,Trafalgar (WA),5,530,South Eastern,5,1.0,False,1
511041285,Geraldton,5,535,Central,5,1.0,False,1
511041286,Geraldton - East,5,535,Central,5,1.0,False,1
511041287,Geraldton - North,5,535,Central,5,1.0,False,1
511041288,Geraldton - South,5,535,Central,5,1.0,False,1
511041289,Irwin,5,535,Central,5,1.0,False,1
511041290,Meekatharra,5,525,Midlands,5,3.090049998918848e-05,True,4
511041290,Meekatharra,5,530,South Eastern,5,1.9111197123478518e-05,True,4
511041290,Meekatharra,5,535,Central,5,0.9998818448185324,True,4
511041290,Meekatharra,5,540,Pilbara,5,6.814348435490028e-05,True,4
511041291,Morawa,5,525,Midlands,5,1.2065529653553213e-05,True,2
511041291,Morawa,5,535,Central,5,0.9999879344703464,True,2
511041292,Northampton - Mullewa - Greenough,5,535,Central,5,1.0,False,1
